Timestamp,AvgFPS,StdDevFPS,AvgIntersections,StdDevIntersections,AvgBuildTimeMs,AvgMemoryKB,StdDevMemoryKB
7697.01,7.29275,0.215866,2.96205e+07,93454.5,0.000558448,6794.5,0
7727.04,7.46438,0.210954,2.96414e+07,133907,0.00165893,6794.5,0
7757.08,7.39594,0.191187,2.96108e+07,78828.4,0.000563063,6794.5,0
7787.09,7.33651,0.202783,2.9619e+07,101832,0.000568182,6794.5,0
7817.21,7.4753,0.231624,2.9621e+07,154912,0.000564889,6794.5,0
7847.32,7.41323,0.209632,2.95766e+07,389403,0.000547534,6794.5,0
7877.39,7.32014,0.185873,2.96486e+07,86677.6,0.000584091,6794.5,0
7907.42,7.49936,0.218631,2.96071e+07,160686,0.000538222,6794.5,0
7937.53,7.41406,0.227141,2.95838e+07,86594.2,0.000549327,6794.5,0
7967.62,7.31405,0.173673,2.96849e+07,69294.7,0.000564091,6794.5,0
7997.64,7.5679,0.19554,2.95795e+07,81249.8,0.000582819,6794.5,0
8027.74,7.31362,0.201945,2.95918e+07,114345,0.000619091,6794.5,0
8057.82,7.41944,0.197383,2.96647e+07,96144.9,0.000564126,6794.5,0
8087.93,7.51147,0.194927,2.95847e+07,119559,0.000556195,6794.5,0
8117.98,7.22878,0.244274,2.96285e+07,121354,0.000557143,6794.5,0
8148,7.37324,0.297088,2.96932e+07,135669,0.000556109,6794.5,0
8178.04,7.3966,0.212425,2.96266e+07,76989.6,0.000575225,6794.5,0
8208.11,7.32256,0.201045,2.96111e+07,86565.5,0.000548636,6794.5,0
8238.11,7.47292,0.228393,2.96485e+07,115802,0.000550893,6794.5,0
8268.24,7.40735,0.204323,2.96096e+07,78061.6,0.000566368,6794.5,0
8298.27,7.36494,0.184996,2.9618e+07,94958.1,0.000561538,6794.5,0
8328.38,7.47743,0.220589,2.96299e+07,102047,0.000565333,6794.5,0
8358.45,7.42374,0.231212,2.95941e+07,88065.4,0.000557399,6794.5,0
8388.53,7.31879,0.174735,2.96579e+07,102923,0.000604545,6794.5,0
8418.65,7.51021,0.220858,2.96157e+07,104845,0.000582743,6794.5,0
8448.77,7.37638,0.219841,2.95878e+07,88364.2,0.000560811,6794.5,0
8478.85,7.31728,0.169964,2.96953e+07,72562.3,0.000554545,6794.5,0
8508.87,7.56874,0.230605,2.95816e+07,84846.3,0.000585022,6794.5,0
8538.94,7.29011,0.219056,2.9611e+07,104624,0.000604566,6794.5,0
8569.06,7.44404,0.239683,2.96646e+07,100214,0.000557589,6794.5,0
8599.13,7.45499,0.217727,2.96069e+07,88672.3,0.000648214,6794.5,0
8629.24,7.27931,0.190752,2.96135e+07,89869.5,0.000595434,6794.5,0
8659.28,7.49497,0.21536,2.96362e+07,100301,0.00056,6794.5,0
8689.29,7.40358,0.208095,2.9605e+07,181230,0.000558559,6794.5,0
8719.42,7.34227,0.210261,2.96156e+07,90753.4,0.000552489,6794.5,0
8749.47,7.46162,0.232367,2.96424e+07,106414,0.000548214,6794.5,0
8779.49,7.40204,0.218913,2.96012e+07,130319,0.000567117,6794.5,0
8809.59,7.34534,0.190402,2.96258e+07,94161.3,0.000546606,6794.5,0
